timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-02-08T00:00:00.000Z";"2024-02-08T23:59:59.999Z";"2024-02-08T23:19:00.000Z";"2024-02-08T12:53:00.000Z";"2781";53.2100159717;54.0870029732;53.1954224965;53.9910654767;27736555.03;435796329.08;"2024-02-08T23:59:59.999Z"
"2024-02-07T00:00:00.000Z";"2024-02-07T23:59:59.999Z";"2024-02-07T20:50:00.000Z";"2024-02-07T08:14:00.000Z";"2781";52.522980524;53.5558815375;52.0071256887;53.2103427486;27746092.59;429492888.42;"2024-02-07T23:59:59.999Z"
"2024-02-06T00:00:00.000Z";"2024-02-06T23:59:59.999Z";"2024-02-06T13:55:00.000Z";"2024-02-06T14:16:00.000Z";"2781";52.1865936886;53.1027009007;52.0988928039;52.5236925225;31031166.03;423910355.33;"2024-02-06T23:59:59.999Z"
"2024-02-05T00:00:00.000Z";"2024-02-05T23:59:59.999Z";"2024-02-05T13:40:00.000Z";"2024-02-05T01:16:00.000Z";"2781";53.4794298042;53.5125690434;52.0584461481;52.1859424231;30687682.36;421183286.37;"2024-02-05T23:59:59.999Z"
"2024-02-04T00:00:00.000Z";"2024-02-04T23:59:59.999Z";"2024-02-04T00:05:00.000Z";"2024-02-04T22:43:00.000Z";"2781";54.8835717279;54.9003572721;53.0942054242;53.4971201599;38982054.06;431764263.25;"2024-02-04T23:59:59.999Z"
"2024-02-03T00:00:00.000Z";"2024-02-03T23:59:59.999Z";"2024-02-03T05:40:00.000Z";"2024-02-03T00:00:00.000Z";"2781";54.526848828;56.0955771409;54.526848828;54.8800005458;29052328.4;442924746.28;"2024-02-03T23:59:59.999Z"
"2024-02-02T00:00:00.000Z";"2024-02-02T23:59:59.999Z";"2024-02-02T22:26:00.000Z";"2024-02-02T00:12:00.000Z";"2781";53.5563023401;54.646272884;53.3389225748;54.5234416816;28270960.1;440046730.78;"2024-02-02T23:59:59.999Z"
"2024-02-01T00:00:00.000Z";"2024-02-01T23:59:59.999Z";"2024-02-01T00:27:00.000Z";"2024-02-01T13:15:00.000Z";"2781";54.4248180498;54.6379355202;52.7665209093;53.5575824322;37969531.18;432202534.73;"2024-02-01T23:59:59.999Z"
"2024-01-31T00:00:00.000Z";"2024-01-31T23:59:59.999Z";"2024-01-31T05:14:00.000Z";"2024-01-31T21:32:00.000Z";"2781";55.1899220036;55.8746061063;53.2192518899;54.4233086423;39433467.15;439187693.63;"2024-01-31T23:59:59.999Z"
"2024-01-30T00:00:00.000Z";"2024-01-30T23:59:59.999Z";"2024-01-30T17:13:00.000Z";"2024-01-30T06:42:00.000Z";"2781";55.7477364664;56.5847898719;54.9015868073;55.1836008414;38877116.21;445321191.82;"2024-01-30T23:59:59.999Z"
"2024-01-29T00:00:00.000Z";"2024-01-29T23:59:59.999Z";"2024-01-29T23:53:00.000Z";"2024-01-29T14:56:00.000Z";"2781";54.4268711609;55.9415966235;53.2908743655;55.7477364664;31943126.89;449868627.24;"2024-01-29T23:59:59.999Z"
"2024-01-28T00:00:00.000Z";"2024-01-28T23:59:59.999Z";"2024-01-28T03:45:00.000Z";"2024-01-28T12:25:00.000Z";"2781";55.5981502039;56.0732575732;54.0425697429;54.4290557821;37095173.16;439224876.17;"2024-01-28T23:59:59.999Z"
"2024-01-27T00:00:00.000Z";"2024-01-27T23:59:59.999Z";"2024-01-27T15:32:00.000Z";"2024-01-27T09:01:00.000Z";"2781";54.8120104745;56.0727739718;54.5211561044;55.6037762903;30991237.3;448704059.04;"2024-01-27T23:59:59.999Z"
