name;open;high;low;close;volume;marketCap;timestamp
"2790";300.4670992924;310.6874017252;170.8044256642;217.265712667;11106269.565156441;558903655.5031075;"2020-06-22T00:00:00.000Z"
"2790";217.2891256564;217.8721327344;146.0274131058;184.2990958355;143265312.51799247;473105555.24918157;"2020-06-29T00:00:00.000Z"
"2790";183.8961731316;183.8961731316;153.1288830737;155.5380015392;52678833.96751498;400597115.619825;"2020-07-06T00:00:00.000Z"
"2790";155.531140694;157.5407558679;133.9909396217;142.3201922253;20859445.30445671;368813881.4541151;"2020-07-13T00:00:00.000Z"
"2790";142.462115195;151.6533437591;132.1231211206;134.945751785;38766695.54451317;352003593.7071097;"2020-07-20T00:00:00.000Z"
"2790";134.9430026721;135.2871535257;103.2754431155;107.8957251192;47707520.90840465;279386004.6131236;"2020-07-27T00:00:00.000Z"
"2790";107.8579337569;148.5786541093;106.770225121;145.3473897434;67996614.7334396;372299778.613309;"2020-08-03T00:00:00.000Z"
"2790";192.9046542462;223.8135171322;159.3399224218;169.6314626832;8650395101.577736;437060957.53653604;"2020-08-10T00:00:00.000Z"
"2790";169.6165374988;173.4784540881;136.7711669268;143.678642484;853833164.9596413;366399921.91424125;"2020-08-17T00:00:00.000Z"
"2790";143.7123801525;178.4942128972;1.4651195524;173.7425365214;593955388.0683676;449411900.692961;"2020-08-24T00:00:00.000Z"
"2790";178.9607151465;219.2597354001;123.9327177108;148.9008468848;1226522911.7046444;378780855.8662303;"2020-08-31T00:00:00.000Z"
"2790";148.9487422759;157.6086992527;130.8355983154;139.2088427696;655549197.4251332;356716492.6817874;"2020-09-07T00:00:00.000Z"
"2790";139.159098307;143.4696595611;119.0692437981;122.1925781135;733840590.8537436;313246317.1708362;"2020-09-14T00:00:00.000Z"
"2790";122.1966312017;126.5495230114;107.6164087525;119.3685911048;521810558.9533041;300260402.8701144;"2020-09-21T00:00:00.000Z"
"2790";119.4352032982;121.6856266086;99.9198779239;102.0755518983;435893856.9923945;263283549.76548237;"2020-09-28T00:00:00.000Z"
"2790";102.1570650852;105.5919967492;87.0767733056;97.9398775611;601911742.3735299;252956516.13589904;"2020-10-05T00:00:00.000Z"
"2790";97.9542688781;102.0912502277;86.3290681116;89.7906620884;459845427.2936119;295560684.36826766;"2020-10-12T00:00:00.000Z"
