healthBin,account,borrowUSD,pctAccount,pctBorrowUSD,date
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-10
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-10
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-10
"(10.0, inf]",1,0.04976526713846325,25.0,0.0008503536710466646,2019-05-10
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-11
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-11
"(1.0, 1.5]",2,6178.458379487763,50.0,99.98794492628413,2019-05-11
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-11
"(2.0, 2.5]",1,0.6839939688236703,25.0,0.01106929060357638,2019-05-11
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-11
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-11
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-11
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-11
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-11
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-11
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-11
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-11
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-11
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-11
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-11
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-11
"(8.5, 9.0]",1,0.060913542478454756,25.0,0.000985783112308601,2019-05-11
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-11
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-11
"(10.0, inf]",0,0.0,0.0,0.0,2019-05-11
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-12
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-12
"(1.0, 1.5]",2,6178.458379487763,50.0,99.98794492628413,2019-05-12
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-12
"(2.0, 2.5]",1,0.6839939688236703,25.0,0.01106929060357638,2019-05-12
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-12
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-12
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-12
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-12
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-12
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-12
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-12
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-12
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-12
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-12
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-12
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-12
"(8.5, 9.0]",1,0.060913542478454756,25.0,0.000985783112308601,2019-05-12
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-12
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-12
"(10.0, inf]",0,0.0,0.0,0.0,2019-05-12
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-13
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-13
