borrowRate,cash,collateralFactor,exchangeRate,interestRateModelAddress,name,reserves,supplyRate,symbol,cTokenAddress,totalBorrows,totalSupply,underlyingAddress,underlyingName,underlyingPrice,underlyingSymbol,accrualBlockNumber,blockTimestamp,borrowIndex,reserveFactor,underlyingPriceUSD,underlyingDecimals,date,newPrice
0.0403151801980032,57.21323301299081,0.75,0.0200058368400942,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0014176271613098,0.0073140565912704,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,14.444465049992433,3581.76871123,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7790980,1558275325,1.0014847979866317,100000000000000000,254.2239292562532,18,2019-05-19,
0.0309973078947744,78.76623301299081,0.75,0.0200063890419322,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.001647030076809,0.0043238253345696,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,14.446759079147425,4659.07890058,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7799714,1558393438,1.001643850974535,100000000000000000,250.59926451681352,18,2019-05-20,
0.0202021944113664,112.5662330129908,0.75,0.0200066223874476,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0017723894495333,0.001836604963008,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,12.648012672874668,6258.55133723,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7806165,1558481368,1.0017325044207108,100000000000000000,256.2291892229206,18,2019-05-21,
0.0210274806030912,115.89483576392512,0.75,0.0200068002131042,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0018994386993164,0.001989726413184,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,13.616483801229496,6473.27002554,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7812547,1558567554,1.0018096664905063,100000000000000000,245.63790990843344,18,2019-05-22,
0.0181522522263168,6171.073586171838,0.75,0.0200070351455515,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0039850606759367,0.001482770044368,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,616.0036932947186,339234.3365736,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7819024,1558655958,1.0018790135766569,100000000000000000,245.96592624106623,18,2019-05-23,
0.0035133974259552,33633.60760621126,0.75,0.0200070810049138,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0061267247748211,5.5547836272e-05,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,601.4060442082625,1711144.54503815,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7825270,1558740337,1.0019137724684106,100000000000000000,248.88858085396205,18,2019-05-24,
0.0034408701868032,37316.77446795891,0.75,0.020007084335222,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0067881484100991,5.32781546112e-05,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,653.2496197344874,1897828.62226954,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7831904,1558828243,1.0019245881730614,100000000000000000,251.20493732987725,18,2019-05-25,
0.0060349131260352,37229.33810050729,0.75,0.020007091443837,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0082962418430353,0.0001638908301888,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1158.33124849481,1918702.7340041,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7838317,1558914472,1.0019398023092196,100000000000000000,268.1184794679175,18,2019-05-26,
0.0056526313288896,41639.19036017109,0.75,0.0200071008693586,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0104361048806487,0.0001437851185632,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1211.0840171374248,2141752.7817251,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7844769,1559001575,1.0019577438442,100000000000000000,274.1757029239641,18,2019-05-27,
0.0046286752477536,51303.34905734619,0.75,0.0200071078129718,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0122759724380642,9.64108773792e-05,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1215.4626184116996,2625007.06702516,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7851086,1559087643,1.0019729298622886,100000000000000000,270.62166585054104,18,2019-05-28,
0.0051849075836736,53070.55512615688,0.75,0.0200071136242349,0xc64c4cba055efa614ce01f4bad8a9f519c4f8fab,Compound Ether,0.0140018378794264,0.0001209747303072,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1412.4466453938492,2723180.80423739,0x0000000000000000000000000000000000000000,Ether,1.0,ETH,7857064,1559166857,1.0019864912741647,100000000000000000,269.7792060558273,18,2019-05-29,
