borrowRate,cash,collateralFactor,exchangeRate,interestRateModelAddress,name,reserves,supplyRate,symbol,cTokenAddress,totalBorrows,totalSupply,underlyingAddress,underlyingName,underlyingPrice,underlyingSymbol,accrualBlockNumber,blockTimestamp,borrowIndex,reserveFactor,underlyingPriceUSD,underlyingDecimals,date,newPrice,yield,utilization_ratio
0.0303354389213856,80.80706521,0.0,0.0200004907335077,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00024493,0.0009405929819808,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,2.88325394,4184.40103971,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,45.57522051,WBTC,8235610,1564269796,1.0009746597398643,100000000000000000,9434.47895252,8,2019-07-27,,-0.0331085994457343,0.03445156390255618
0.031797373879008,79.81093042,0.0,0.0200005546375444,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00027448,0.0011253802427424,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.26700488,4153.76784922,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,44.79183808,WBTC,8242178,1564357810,1.001071588078775,100000000000000000,9523.61337526,8,2019-07-28,,0.0094033806773961,0.03932470952785307
0.0317979098879904,79.81218405,0.0,0.020000632217465,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00031014,0.00112545082872,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.26721071,4153.82292503,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,45.28267732,WBTC,8248565,1564444196,1.0011715478078855,100000000000000000,9540.12242648,8,2019-07-29,,0.0017319853273924934,0.039326513104279794
0.0318171570656544,79.68386031,0.0,0.0200006944270087,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00033872,0.0011279696321664,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.26749741,4147.40694643,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,45.30627122,WBTC,8254366,1564521380,1.0012594286140368,100000000000000000,9493.37055703,8,2019-07-30,,-0.004912599438771537,0.03939068439894632
0.0326532824749152,79.68434389,0.0,0.0200007691262752,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00037296,0.0012395191771296,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.5088917,4159.48317311,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,46.2214005,WBTC,8261344,1564615338,1.0013650953052835,100000000000000000,9985.25651702,8,2019-07-31,,0.05051593787170461,0.04217779733828592
0.0326538787891392,81.13256094,0.0,0.0200008458374432,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00040842,0.0012396006493344,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.57283957,4235.07049544,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,47.83945825,WBTC,8267797,1564703251,1.001465688069341,100000000000000000,10356.03195331,8,2019-08-01,,0.036459490597025024,0.04217979934646376
0.0314947161614304,81.59787934,0.0,0.0200009249504043,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00044552,0.0010860741717984,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.25104778,4242.22788748,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,48.34479508,WBTC,8274336,1564790015,1.0015680551062425,100000000000000000,10489.90076351,8,2019-08-02,,0.012843814887379068,0.03831592173123815
0.033619982124528,81.48604076,0.0,0.0200009992023075,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00048046,0.001373718398688,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.87540453,4267.83501997,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,48.84781039,WBTC,8280808,1564876456,1.0016679258971104,100000000000000000,10860.44814318,8,2019-08-03,,0.034714616881030835,0.045400195952775765
0.033516772785648,82.16519248,0.0,0.0200010822328416,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00051976,0.0013591240172352,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.8766955,4301.83563161,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,49.34312891,WBTC,8287180,1564961804,1.0017699075520836,100000000000000000,10954.43363009,8,2019-08-04,,0.008616692898078426,0.045056181464800046
0.0317350749462048,83.83659745,0.0,0.020001156150004,0xbae04cbf96391086dc643e842b517734e214d698,Compound Wrapped BTC,0.00055497,0.0011172475561536,cWBTC,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,3.41293258,4362.19658532,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,50.79945645,WBTC,8293659,1565048858,1.0018697537731756,100000000000000000,11766.48305341,8,2019-08-05,,0.0715107985846668,0.0391171653036952
